日期,類型,分類,金額,帳戶,備註
2021-06-14,支出,居住 > 水電費,1492,銀行帳戶,台電電費
2021-06-14,支出,餐飲 > 午餐,122,現金,麵店
2021-06-14,支出,餐飲 > 晚餐,351,信用卡,滷味
2021-06-14,支出,餐飲 > 飲料,137,現金,迷客夏
2021-06-14,支出,交通 > 公車/捷運,35,現金,悠遊卡加值
2021-06-15,支出,交通 > 公車/捷運,48,現金,捷運通勤
2021-06-16,支出,餐飲 > 早餐,54,現金,燒餅油條
2021-06-16,支出,餐飲 > 午餐,246,信用卡,拉麵
2021-06-16,支出,餐飲 > 晚餐,170,信用卡,燒烤
2021-06-16,支出,餐飲 > 飲料,111,信用卡,拿鐵
2021-06-16,支出,餐飲 > 點心,96,信用卡,可頌
2021-06-16,支出,交通 > 公車/捷運,35,現金,捷運通勤
2021-06-17,支出,餐飲 > 午餐,151,信用卡,自助餐
2021-06-17,支出,餐飲 > 晚餐,164,現金,泰式料理
2021-06-17,支出,餐飲 > 飲料,147,現金,路易莎咖啡
2021-06-18,支出,餐飲 > 早餐,61,現金,7-11早餐
2021-06-18,支出,餐飲 > 午餐,90,現金,便當
2021-06-18,支出,餐飲 > 晚餐,93,信用卡,韓式料理
2021-06-18,支出,餐飲 > 飲料,144,信用卡,可不可
2021-06-18,支出,餐飲 > 點心,88,信用卡,蛋糕
2021-06-19,支出,餐飲 > 早餐,52,信用卡,全家早餐
2021-06-20,收入,投資,5719,銀行帳戶,定存利息
2021-06-20,支出,餐飲 > 午餐,98,信用卡,便當
2021-06-20,支出,餐飲 > 晚餐,441,信用卡,韓式料理
2021-06-20,支出,交通 > 加油,1799,現金,台塑加油
2021-06-21,支出,餐飲 > 午餐,147,信用卡,麵店
2021-06-21,支出,餐飲 > 晚餐,175,信用卡,泰式料理
2021-06-21,支出,餐飲 > 飲料,57,現金,手搖飲
2021-06-21,支出,交通 > 公車/捷運,65,現金,捷運通勤
2021-06-21,支出,交通 > 加油,1038,信用卡,全國加油站
2021-06-22,支出,居住 > 網路費,999,銀行帳戶,家用網路費
2021-06-22,支出,餐飲 > 早餐,58,信用卡,麥當勞早餐
2021-06-22,支出,餐飲 > 晚餐,330,信用卡,水餃
2021-06-22,支出,餐飲 > 飲料,158,信用卡,星巴克
2021-06-23,支出,餐飲 > 早餐,89,現金,美而美早餐
2021-06-23,支出,餐飲 > 午餐,161,現金,牛肉麵
2021-06-23,支出,餐飲 > 晚餐,440,現金,燒烤
2021-06-23,支出,交通 > 停車費,50,現金,公有停車場
2021-06-24,支出,餐飲 > 午餐,223,信用卡,滷肉飯
2021-06-24,支出,餐飲 > 晚餐,290,信用卡,燒烤
2021-06-25,支出,餐飲 > 早餐,87,現金,燒餅油條
2021-06-25,支出,餐飲 > 晚餐,479,現金,水餃
2021-06-25,支出,餐飲 > 點心,99,現金,麵包
2021-06-26,支出,餐飲 > 早餐,118,現金,吐司
2021-06-26,支出,餐飲 > 午餐,217,現金,麵店
2021-06-26,支出,餐飲 > 飲料,93,信用卡,路易莎咖啡
2021-06-26,支出,購物 > 日用品,348,現金,保鮮膜
2021-06-27,支出,餐飲 > 早餐,37,現金,吐司
2021-06-27,支出,餐飲 > 午餐,204,現金,麵店
2021-06-27,支出,餐飲 > 晚餐,92,現金,炒飯
2021-06-28,支出,餐飲 > 早餐,69,現金,全家早餐
2021-06-28,支出,餐飲 > 午餐,186,現金,便當
2021-06-28,支出,餐飲 > 晚餐,357,現金,熱炒
2021-06-28,支出,交通 > 公車/捷運,65,現金,公車
2021-06-29,支出,餐飲 > 早餐,47,信用卡,燒餅油條
2021-06-29,支出,餐飲 > 午餐,154,信用卡,自助餐
2021-06-29,支出,餐飲 > 晚餐,288,信用卡,鹹酥雞
2021-06-29,支出,餐飲 > 飲料,171,現金,美式咖啡
2021-06-29,支出,餐飲 > 點心,93,信用卡,泡芙
2021-06-29,支出,購物 > 3C產品,536,信用卡,行動電源
2021-06-30,支出,餐飲 > 午餐,202,現金,雞腿飯
2021-06-30,支出,餐飲 > 晚餐,153,現金,熱炒
2021-07-01,支出,餐飲 > 早餐,107,現金,7-11早餐
2021-07-01,支出,餐飲 > 午餐,144,信用卡,滷肉飯
2021-07-01,支出,餐飲 > 晚餐,157,現金,自己煮
2021-07-02,支出,餐飲 > 早餐,118,現金,三明治
2021-07-02,支出,餐飲 > 午餐,203,現金,自助餐
2021-07-02,支出,餐飲 > 晚餐,119,信用卡,日本料理
2021-07-03,支出,居住 > 房租/房貸,15241,銀行帳戶,每月房租
2021-07-03,支出,餐飲 > 早餐,56,信用卡,美而美早餐
2021-07-03,支出,餐飲 > 午餐,220,信用卡,拉麵
2021-07-03,支出,餐飲 > 晚餐,140,信用卡,泰式料理
2021-07-04,收入,薪資,61597,銀行帳戶,2021年7月薪資
2021-07-04,支出,餐飲 > 早餐,72,現金,燒餅油條
2021-07-04,支出,餐飲 > 晚餐,389,信用卡,鹹酥雞
2021-07-05,支出,餐飲 > 早餐,95,現金,三明治
2021-07-05,支出,餐飲 > 午餐,118,信用卡,自助餐
2021-07-05,支出,餐飲 > 飲料,83,現金,迷客夏
2021-07-05,支出,餐飲 > 點心,88,信用卡,蛋糕
2021-07-05,支出,交通 > 公車/捷運,48,現金,悠遊卡加值
2021-07-05,支出,娛樂 > 運動健身,656,信用卡,瑜珈課
2021-07-06,支出,餐飲 > 早餐,59,信用卡,豆漿店
2021-07-06,支出,餐飲 > 午餐,189,信用卡,牛肉麵
2021-07-06,支出,餐飲 > 晚餐,286,信用卡,夜市小吃
2021-07-06,支出,交通 > 公車/捷運,25,現金,悠遊卡儲值
2021-07-07,支出,餐飲 > 午餐,178,信用卡,咖哩飯
2021-07-07,支出,餐飲 > 晚餐,383,信用卡,燒烤
2021-07-07,支出,交通 > 加油,974,現金,中油加油
2021-07-07,支出,教育 > 線上課程,1804,信用卡,程式課程
2021-07-08,支出,餐飲 > 早餐,95,現金,三明治
2021-07-08,支出,餐飲 > 午餐,93,現金,義大利麵
2021-07-08,支出,交通 > 公車/捷運,20,現金,捷運通勤
2021-07-09,支出,餐飲 > 早餐,101,信用卡,吐司
2021-07-09,支出,餐飲 > 午餐,234,現金,麵店
2021-07-10,支出,餐飲 > 早餐,90,信用卡,美而美早餐
2021-07-10,支出,餐飲 > 午餐,173,信用卡,鐵板燒
2021-07-10,支出,餐飲 > 晚餐,452,信用卡,韓式料理
2021-07-11,支出,餐飲 > 午餐,172,現金,便當
2021-07-11,支出,餐飲 > 晚餐,248,現金,自己煮
2021-07-11,支出,交通 > 計程車/Uber,239,現金,Uber回家
2021-07-12,支出,餐飲 > 午餐,94,現金,定食
2021-07-12,支出,餐飲 > 晚餐,321,信用卡,鹹酥雞
2021-07-12,支出,餐飲 > 飲料,174,現金,手搖飲
2021-07-13,收入,投資,2143,銀行帳戶,ETF配息
2021-07-13,支出,餐飲 > 早餐,50,現金,蛋餅
2021-07-13,支出,餐飲 > 午餐,95,信用卡,自助餐
2021-07-13,支出,餐飲 > 飲料,84,現金,拿鐵
2021-07-14,支出,餐飲 > 午餐,250,信用卡,拉麵
2021-07-14,支出,餐飲 > 點心,135,現金,可頌
2021-07-14,支出,交通 > 公車/捷運,48,現金,悠遊卡儲值
2021-07-15,支出,居住 > 水電費,938,銀行帳戶,台電電費
2021-07-15,支出,餐飲 > 午餐,80,信用卡,滷肉飯
2021-07-15,支出,餐飲 > 晚餐,140,信用卡,鹹酥雞
2021-07-15,支出,交通 > 公車/捷運,48,現金,悠遊卡儲值
2021-07-16,支出,餐飲 > 早餐,37,現金,7-11早餐
2021-07-16,支出,餐飲 > 午餐,175,信用卡,自助餐
2021-07-16,支出,娛樂 > 運動健身,1494,現金,羽球場地費
2021-07-17,支出,餐飲 > 早餐,83,信用卡,美而美早餐
2021-07-17,支出,餐飲 > 午餐,224,信用卡,拉麵
2021-07-17,支出,餐飲 > 晚餐,176,信用卡,韓式料理
2021-07-17,支出,餐飲 > 飲料,110,信用卡,迷客夏
2021-07-17,轉出,銀行帳戶,10000,銀行帳戶,繳信用卡費
2021-07-17,轉入,信用卡,10000,信用卡,繳信用卡費
2021-07-18,支出,餐飲 > 早餐,115,現金,7-11早餐
2021-07-18,支出,餐飲 > 晚餐,159,現金,披薩
2021-07-19,支出,餐飲 > 早餐,69,現金,吐司
2021-07-19,支出,餐飲 > 午餐,146,現金,簡餐
2021-07-19,支出,餐飲 > 晚餐,139,現金,鹹酥雞
2021-07-19,支出,餐飲 > 飲料,117,信用卡,五十嵐
2021-07-19,支出,交通 > 公車/捷運,16,現金,公車
2021-07-19,支出,交通 > 高鐵/火車,1080,現金,高鐵台北-台中
2021-07-20,支出,居住 > 網路費,499,銀行帳戶,光世代月租費
2021-07-20,支出,餐飲 > 早餐,47,現金,三明治
2021-07-20,支出,餐飲 > 午餐,199,現金,鐵板燒
2021-07-20,支出,餐飲 > 晚餐,494,信用卡,水餃
2021-07-20,支出,交通 > 公車/捷運,30,現金,公車
2021-07-20,支出,娛樂 > 運動健身,972,現金,羽球場地費
2021-07-21,支出,餐飲 > 早餐,64,現金,飯糰
2021-07-21,支出,餐飲 > 午餐,148,信用卡,咖哩飯
2021-07-21,支出,餐飲 > 晚餐,342,現金,泰式料理
2021-07-22,支出,餐飲 > 早餐,41,現金,豆漿店
2021-07-22,支出,餐飲 > 午餐,116,信用卡,簡餐
2021-07-22,支出,餐飲 > 晚餐,315,現金,炒飯
2021-07-22,支出,餐飲 > 飲料,79,信用卡,綠茶
2021-07-22,支出,餐飲 > 點心,60,現金,鬆餅
2021-07-22,支出,交通 > 公車/捷運,30,現金,捷運通勤
2021-07-22,支出,購物 > 日用品,473,現金,洗衣精
2021-07-23,支出,餐飲 > 早餐,95,信用卡,麥當勞早餐
2021-07-23,支出,餐飲 > 晚餐,317,現金,燒烤
2021-07-23,支出,交通 > 公車/捷運,25,現金,捷運
2021-07-24,支出,餐飲 > 早餐,85,現金,三明治
2021-07-24,支出,餐飲 > 午餐,230,現金,小吃店
2021-07-24,支出,餐飲 > 飲料,95,信用卡,拿鐵
2021-07-25,支出,餐飲 > 早餐,52,信用卡,麥當勞早餐
2021-07-25,支出,餐飲 > 午餐,157,信用卡,自助餐
2021-07-25,支出,餐飲 > 晚餐,414,現金,滷味
2021-07-25,支出,餐飲 > 飲料,114,信用卡,清心
2021-07-25,支出,交通 > 計程車/Uber,315,現金,計程車
2021-07-26,支出,餐飲 > 午餐,105,信用卡,鐵板燒
2021-07-26,支出,餐飲 > 飲料,67,信用卡,清心
2021-07-26,支出,交通 > 公車/捷運,40,現金,捷運
2021-07-27,支出,餐飲 > 早餐,92,信用卡,蛋餅
2021-07-27,支出,餐飲 > 午餐,216,信用卡,自助餐
2021-07-27,支出,餐飲 > 晚餐,297,信用卡,涮涮鍋
2021-07-27,支出,交通 > 公車/捷運,65,現金,公車
2021-07-28,支出,餐飲 > 早餐,71,現金,全家早餐
2021-07-28,支出,餐飲 > 晚餐,105,信用卡,泰式料理
2021-07-28,支出,交通 > 計程車/Uber,236,現金,Uber回家
2021-07-28,支出,交通 > 停車費,50,現金,百貨停車
2021-07-28,支出,購物 > 日用品,137,現金,洗髮精
2021-07-29,支出,餐飲 > 早餐,80,現金,吐司
2021-07-29,支出,餐飲 > 午餐,143,現金,自助餐
2021-07-29,支出,餐飲 > 晚餐,144,現金,炒飯
2021-07-29,支出,交通 > 公車/捷運,48,現金,悠遊卡加值
2021-07-30,支出,餐飲 > 早餐,93,現金,全家早餐
2021-07-30,支出,餐飲 > 午餐,89,現金,咖哩飯
2021-07-30,支出,交通 > 公車/捷運,20,現金,公車
2021-07-31,支出,餐飲 > 午餐,247,現金,定食
2021-07-31,支出,購物 > 服飾,1444,信用卡,Nike球鞋
2021-08-01,支出,居住 > 管理費,1599,銀行帳戶,社區管理費
2021-08-01,支出,餐飲 > 午餐,92,信用卡,咖哩飯
2021-08-01,支出,餐飲 > 晚餐,469,信用卡,泰式料理
2021-08-02,支出,餐飲 > 早餐,69,現金,飯糰
2021-08-02,支出,餐飲 > 午餐,186,現金,滷肉飯
2021-08-02,支出,餐飲 > 晚餐,386,信用卡,熱炒
2021-08-02,支出,餐飲 > 飲料,39,信用卡,珍珠奶茶
2021-08-02,支出,餐飲 > 點心,66,信用卡,車輪餅
2021-08-02,支出,交通 > 公車/捷運,65,現金,公車
2021-08-02,轉出,銀行帳戶,3000,銀行帳戶,提款
2021-08-02,轉入,現金,3000,現金,提款
2021-08-03,支出,居住 > 房租/房貸,15541,銀行帳戶,每月房租
2021-08-03,支出,餐飲 > 早餐,91,現金,蛋餅
2021-08-03,支出,餐飲 > 晚餐,352,現金,炒飯
2021-08-03,支出,餐飲 > 飲料,138,現金,清心
2021-08-03,支出,娛樂 > 運動健身,638,現金,瑜珈課
2021-08-03,支出,醫療 > 保健食品,1130,信用卡,膠原蛋白
2021-08-04,支出,餐飲 > 午餐,154,信用卡,簡餐
2021-08-04,支出,餐飲 > 晚餐,95,現金,水餃
2021-08-04,支出,交通 > 公車/捷運,40,現金,悠遊卡儲值
2021-08-04,支出,購物 > 日用品,524,信用卡,衛生紙
2021-08-05,支出,餐飲 > 早餐,103,現金,飯糰
2021-08-05,支出,餐飲 > 午餐,111,現金,拉麵
2021-08-05,支出,餐飲 > 晚餐,136,信用卡,日本料理
2021-08-06,支出,餐飲 > 午餐,172,現金,雞腿飯
2021-08-06,支出,交通 > 公車/捷運,50,現金,悠遊卡加值
2021-08-06,支出,購物 > 日用品,456,信用卡,衛生紙
2021-08-07,收入,薪資,53510,銀行帳戶,2021年8月薪資
2021-08-07,支出,餐飲 > 午餐,125,信用卡,滷肉飯
2021-08-07,支出,餐飲 > 晚餐,251,信用卡,炒飯
2021-08-07,支出,餐飲 > 飲料,60,信用卡,五十嵐
2021-08-08,支出,餐飲 > 早餐,114,現金,燒餅油條
2021-08-08,支出,餐飲 > 午餐,184,現金,牛肉麵
2021-08-08,支出,餐飲 > 晚餐,165,信用卡,炒飯
2021-08-08,支出,餐飲 > 飲料,129,現金,迷客夏
2021-08-09,收入,兼職,6777,銀行帳戶,翻譯收入
2021-08-09,支出,餐飲 > 午餐,141,現金,簡餐
2021-08-09,支出,交通 > 公車/捷運,16,現金,捷運通勤
2021-08-09,支出,購物 > 日用品,634,現金,清潔用品
2021-08-10,支出,餐飲 > 早餐,57,信用卡,吐司
2021-08-10,支出,餐飲 > 午餐,234,信用卡,定食
2021-08-10,支出,餐飲 > 飲料,153,現金,手搖飲
2021-08-11,支出,購物 > 日用品,259,現金,清潔用品
2021-08-12,支出,餐飲 > 早餐,85,現金,三明治
2021-08-12,支出,餐飲 > 午餐,210,信用卡,拉麵
2021-08-12,支出,餐飲 > 晚餐,133,現金,涮涮鍋
2021-08-12,支出,餐飲 > 飲料,63,現金,拿鐵
2021-08-12,支出,交通 > 公車/捷運,30,現金,捷運
2021-08-13,支出,餐飲 > 午餐,142,信用卡,牛肉麵
2021-08-13,支出,餐飲 > 晚餐,307,信用卡,燒烤
2021-08-13,支出,交通 > 公車/捷運,16,現金,捷運通勤
2021-08-14,支出,餐飲 > 早餐,72,信用卡,美而美早餐
2021-08-14,支出,餐飲 > 午餐,158,信用卡,排骨飯
2021-08-14,支出,餐飲 > 晚餐,230,現金,披薩
2021-08-14,支出,餐飲 > 點心,107,信用卡,鬆餅
2021-08-15,支出,餐飲 > 早餐,36,信用卡,三明治
2021-08-15,支出,餐飲 > 午餐,212,信用卡,簡餐
2021-08-15,支出,餐飲 > 晚餐,167,信用卡,炒飯
2021-08-15,支出,餐飲 > 飲料,163,信用卡,可不可
2021-08-15,支出,購物 > 日用品,531,信用卡,衛生紙
2021-08-16,支出,餐飲 > 早餐,83,現金,全家早餐
2021-08-16,支出,餐飲 > 午餐,159,現金,小吃店
2021-08-16,支出,餐飲 > 晚餐,391,現金,炒飯
2021-08-16,支出,餐飲 > 飲料,162,信用卡,五十嵐
2021-08-17,支出,餐飲 > 早餐,60,信用卡,7-11早餐
2021-08-17,支出,餐飲 > 午餐,105,信用卡,義大利麵
2021-08-17,支出,餐飲 > 晚餐,363,現金,燒烤
2021-08-17,支出,餐飲 > 飲料,180,現金,珍珠奶茶
2021-08-17,支出,購物 > 日用品,304,信用卡,洗衣精
2021-08-17,支出,購物 > 3C產品,1688,信用卡,USB隨身碟
2021-08-18,支出,居住 > 水電費,1980,銀行帳戶,本月電費
2021-08-18,支出,餐飲 > 早餐,40,信用卡,吐司
2021-08-18,支出,餐飲 > 午餐,128,現金,麵店
2021-08-18,支出,餐飲 > 晚餐,111,現金,韓式料理
2021-08-18,支出,餐飲 > 飲料,157,信用卡,星巴克
2021-08-19,支出,居住 > 網路費,799,信用卡,中華電信網路費
2021-08-19,收入,兼職,7351,銀行帳戶,設計案收入
2021-08-19,支出,餐飲 > 早餐,60,現金,吐司
2021-08-19,支出,餐飲 > 午餐,233,信用卡,滷肉飯
2021-08-19,支出,餐飲 > 晚餐,377,信用卡,涮涮鍋
2021-08-19,支出,交通 > 公車/捷運,30,現金,悠遊卡加值
2021-08-19,支出,交通 > 高鐵/火車,1080,現金,高鐵自由座
2021-08-19,支出,教育 > 書籍,224,信用卡,語言學習書
2021-08-20,支出,餐飲 > 早餐,77,信用卡,吐司
2021-08-20,支出,餐飲 > 午餐,245,信用卡,滷肉飯
2021-08-20,支出,餐飲 > 飲料,105,信用卡,清心
2021-08-21,支出,餐飲 > 早餐,55,現金,全家早餐
2021-08-21,支出,餐飲 > 午餐,157,現金,定食
2021-08-21,支出,餐飲 > 晚餐,406,現金,韓式料理
2021-08-22,支出,餐飲 > 早餐,73,現金,燒餅油條
2021-08-22,支出,餐飲 > 午餐,162,現金,小吃店
2021-08-22,支出,餐飲 > 晚餐,482,現金,涮涮鍋
2021-08-22,支出,餐飲 > 飲料,75,信用卡,可不可
2021-08-22,支出,購物 > 日用品,115,現金,洗衣精
2021-08-23,支出,餐飲 > 午餐,157,信用卡,麵店
2021-08-23,支出,餐飲 > 晚餐,452,信用卡,涮涮鍋
2021-08-23,支出,交通 > 公車/捷運,40,現金,捷運
2021-08-23,支出,交通 > 計程車/Uber,306,現金,深夜計程車
2021-08-24,支出,餐飲 > 午餐,131,現金,雞腿飯
2021-08-24,支出,餐飲 > 晚餐,230,信用卡,火鍋
2021-08-24,支出,餐飲 > 飲料,132,信用卡,可不可
2021-08-24,支出,交通 > 公車/捷運,30,現金,悠遊卡加值
2021-08-25,支出,餐飲 > 早餐,96,信用卡,7-11早餐
2021-08-25,支出,餐飲 > 午餐,179,信用卡,小吃店
2021-08-25,支出,餐飲 > 晚餐,390,信用卡,火鍋
2021-08-25,支出,餐飲 > 飲料,122,信用卡,可不可
2021-08-26,支出,餐飲 > 午餐,118,現金,咖哩飯
2021-08-26,支出,餐飲 > 晚餐,182,現金,鹹酥雞
2021-08-26,支出,餐飲 > 飲料,174,信用卡,可不可
2021-08-26,支出,交通 > 公車/捷運,16,現金,捷運通勤
2021-08-27,支出,餐飲 > 早餐,81,信用卡,麥當勞早餐
2021-08-27,支出,餐飲 > 午餐,199,現金,簡餐
2021-08-27,支出,餐飲 > 晚餐,181,信用卡,泰式料理
2021-08-27,支出,交通 > 公車/捷運,40,現金,捷運
2021-08-28,支出,餐飲 > 午餐,84,信用卡,便當
2021-08-29,支出,餐飲 > 早餐,46,現金,吐司
2021-08-29,支出,餐飲 > 午餐,211,現金,咖哩飯
2021-08-30,支出,餐飲 > 早餐,54,信用卡,全家早餐
2021-08-30,支出,餐飲 > 午餐,227,信用卡,簡餐
2021-08-30,支出,餐飲 > 晚餐,434,信用卡,火鍋
2021-08-30,支出,交通 > 加油,1160,信用卡,台塑加油
2021-08-31,支出,餐飲 > 早餐,76,信用卡,麥當勞早餐
2021-08-31,支出,餐飲 > 午餐,227,信用卡,排骨飯
2021-08-31,支出,餐飲 > 飲料,72,現金,綠茶
2021-08-31,支出,交通 > 公車/捷運,65,現金,悠遊卡儲值
2021-09-01,支出,餐飲 > 早餐,64,現金,麥當勞早餐
2021-09-01,支出,餐飲 > 午餐,188,信用卡,小吃店
2021-09-01,支出,餐飲 > 飲料,125,現金,路易莎咖啡
2021-09-01,支出,交通 > 停車費,120,現金,停車場
2021-09-02,支出,居住 > 房租/房貸,16683,銀行帳戶,每月房租
2021-09-02,支出,餐飲 > 早餐,86,現金,麥當勞早餐
2021-09-02,支出,餐飲 > 午餐,231,現金,自助餐
2021-09-02,支出,交通 > 公車/捷運,25,現金,捷運通勤
2021-09-03,支出,餐飲 > 早餐,59,現金,全家早餐
2021-09-03,支出,餐飲 > 午餐,172,信用卡,滷肉飯
2021-09-03,支出,餐飲 > 晚餐,313,現金,火鍋
2021-09-03,支出,餐飲 > 飲料,142,信用卡,星巴克
2021-09-04,支出,餐飲 > 午餐,244,信用卡,簡餐
2021-09-04,支出,餐飲 > 晚餐,220,信用卡,火鍋
2021-09-04,支出,餐飲 > 飲料,98,現金,五十嵐
2021-09-04,支出,餐飲 > 點心,96,現金,餅乾
2021-09-05,支出,餐飲 > 午餐,175,信用卡,定食
2021-09-05,支出,餐飲 > 晚餐,168,現金,夜市小吃
2021-09-06,支出,餐飲 > 早餐,98,現金,豆漿店
2021-09-06,支出,餐飲 > 午餐,175,信用卡,咖哩飯
2021-09-06,支出,餐飲 > 晚餐,481,現金,自己煮
2021-09-06,支出,餐飲 > 飲料,155,現金,迷客夏
2021-09-06,支出,交通 > 計程車/Uber,293,現金,計程車
2021-09-06,支出,購物 > 服飾,312,信用卡,洋裝
2021-09-07,收入,薪資,55804,銀行帳戶,2021年9月薪資
2021-09-07,支出,餐飲 > 早餐,43,現金,蛋餅
2021-09-07,支出,餐飲 > 午餐,186,信用卡,麵店
2021-09-07,支出,餐飲 > 點心,90,信用卡,可頌
2021-09-07,支出,交通 > 公車/捷運,50,現金,公車
2021-09-07,支出,娛樂 > 運動健身,140,現金,游泳池
2021-09-08,支出,餐飲 > 午餐,112,現金,義大利麵
2021-09-08,支出,餐飲 > 晚餐,153,現金,炒飯
2021-09-08,支出,餐飲 > 飲料,59,信用卡,綠茶
2021-09-08,支出,交通 > 公車/捷運,30,現金,公車
2021-09-08,支出,購物 > 日用品,324,現金,洗衣精
2021-09-09,支出,餐飲 > 早餐,101,信用卡,美而美早餐
2021-09-09,支出,餐飲 > 午餐,175,現金,咖哩飯
2021-09-09,支出,餐飲 > 晚餐,97,信用卡,炒飯
2021-09-09,支出,餐飲 > 飲料,85,現金,手搖飲
2021-09-09,支出,餐飲 > 點心,34,現金,餅乾
2021-09-09,支出,交通 > 公車/捷運,16,現金,悠遊卡加值
2021-09-09,支出,娛樂 > 電影/影音,199,現金,Disney+
2021-09-10,支出,餐飲 > 午餐,134,信用卡,咖哩飯
2021-09-10,支出,餐飲 > 晚餐,305,現金,披薩
2021-09-10,支出,餐飲 > 飲料,166,信用卡,拿鐵
2021-09-10,支出,交通 > 公車/捷運,35,現金,捷運
2021-09-11,支出,餐飲 > 午餐,173,信用卡,雞腿飯
2021-09-11,支出,餐飲 > 晚餐,358,現金,熱炒
2021-09-11,支出,餐飲 > 飲料,152,現金,星巴克
2021-09-11,支出,娛樂 > 旅遊,12997,信用卡,旅遊行程
2021-09-12,支出,餐飲 > 午餐,209,現金,拉麵
2021-09-13,支出,餐飲 > 午餐,118,現金,鐵板燒
2021-09-13,支出,餐飲 > 晚餐,356,現金,披薩
2021-09-13,支出,交通 > 公車/捷運,20,現金,捷運通勤
2021-09-14,支出,餐飲 > 午餐,236,信用卡,定食
2021-09-14,支出,餐飲 > 晚餐,105,信用卡,泰式料理
2021-09-14,支出,餐飲 > 飲料,168,信用卡,果汁
2021-09-14,支出,交通 > 公車/捷運,32,現金,悠遊卡儲值
2021-09-15,支出,餐飲 > 午餐,97,現金,鐵板燒
2021-09-15,支出,餐飲 > 晚餐,153,信用卡,涮涮鍋
2021-09-15,支出,餐飲 > 飲料,97,信用卡,路易莎咖啡
2021-09-15,支出,交通 > 公車/捷運,30,現金,捷運通勤
2021-09-15,支出,購物 > 3C產品,2460,信用卡,耳機
2021-09-16,支出,餐飲 > 午餐,229,現金,小吃店
2021-09-16,支出,餐飲 > 晚餐,424,信用卡,燒烤
2021-09-16,支出,餐飲 > 飲料,65,信用卡,可不可
2021-09-16,支出,餐飲 > 點心,110,信用卡,甜甜圈
2021-09-17,支出,居住 > 水電費,2293,銀行帳戶,台電電費
2021-09-17,支出,餐飲 > 早餐,78,信用卡,7-11早餐
2021-09-17,支出,餐飲 > 午餐,145,現金,雞腿飯
2021-09-17,支出,餐飲 > 晚餐,379,現金,披薩
2021-09-18,支出,居住 > 網路費,499,信用卡,家用網路費
2021-09-18,支出,餐飲 > 早餐,81,現金,蛋餅
2021-09-18,支出,餐飲 > 午餐,190,信用卡,便當
2021-09-18,支出,餐飲 > 晚餐,474,信用卡,涮涮鍋
2021-09-19,支出,餐飲 > 午餐,105,信用卡,小吃店
2021-09-19,支出,餐飲 > 晚餐,193,信用卡,炒飯
2021-09-19,支出,餐飲 > 飲料,159,信用卡,五十嵐
2021-09-20,支出,餐飲 > 晚餐,140,現金,自己煮
2021-09-21,支出,餐飲 > 早餐,93,現金,飯糰
2021-09-21,支出,餐飲 > 午餐,240,信用卡,雞腿飯
2021-09-21,支出,餐飲 > 飲料,81,現金,清心
2021-09-21,支出,交通 > 公車/捷運,40,現金,悠遊卡儲值
2021-09-21,支出,購物 > 服飾,2944,信用卡,Uniqlo
2021-09-21,轉出,銀行帳戶,10000,銀行帳戶,提款
2021-09-21,轉入,現金,10000,現金,提款
2021-09-22,收入,投資,9165,銀行帳戶,股票賣出獲利
2021-09-22,支出,餐飲 > 早餐,66,信用卡,蛋餅
2021-09-22,支出,餐飲 > 午餐,163,信用卡,排骨飯
2021-09-22,支出,餐飲 > 飲料,76,現金,可不可
2021-09-22,支出,交通 > 公車/捷運,35,現金,捷運
2021-09-23,支出,餐飲 > 早餐,80,現金,三明治
2021-09-23,支出,餐飲 > 午餐,105,現金,雞腿飯
2021-09-23,支出,餐飲 > 晚餐,398,信用卡,炒飯
2021-09-23,支出,餐飲 > 飲料,132,現金,綠茶
2021-09-23,支出,交通 > 公車/捷運,35,現金,捷運
2021-09-24,支出,餐飲 > 早餐,109,信用卡,吐司
2021-09-24,支出,餐飲 > 午餐,223,信用卡,鐵板燒
2021-09-24,支出,餐飲 > 晚餐,171,信用卡,水餃
2021-09-24,支出,交通 > 公車/捷運,65,現金,捷運
2021-09-25,支出,餐飲 > 早餐,84,現金,豆漿店
2021-09-25,支出,餐飲 > 午餐,101,信用卡,小吃店
2021-09-25,支出,餐飲 > 晚餐,100,現金,夜市小吃
2021-09-25,支出,餐飲 > 飲料,105,現金,果汁
2021-09-26,支出,餐飲 > 午餐,155,現金,便當
2021-09-26,支出,購物 > 日用品,687,信用卡,洗衣精
2021-09-27,支出,餐飲 > 早餐,86,信用卡,豆漿店
2021-09-27,支出,餐飲 > 午餐,173,信用卡,拉麵
2021-09-27,支出,餐飲 > 晚餐,200,信用卡,夜市小吃
2021-09-27,支出,餐飲 > 飲料,69,信用卡,迷客夏
2021-09-27,支出,交通 > 公車/捷運,25,現金,悠遊卡儲值
2021-09-28,支出,餐飲 > 早餐,112,現金,三明治
2021-09-28,支出,餐飲 > 午餐,245,現金,簡餐
2021-09-28,支出,餐飲 > 晚餐,107,信用卡,水餃
2021-09-28,支出,交通 > 公車/捷運,25,現金,悠遊卡儲值
2021-09-28,支出,教育 > 書籍,381,現金,工具書
2021-09-29,支出,餐飲 > 午餐,170,現金,排骨飯
2021-09-29,支出,餐飲 > 晚餐,209,現金,披薩
2021-09-29,支出,購物 > 日用品,220,現金,垃圾袋
2021-09-30,支出,餐飲 > 早餐,73,信用卡,麥當勞早餐
